"setting","desc","leads","contrast","n","Delta","CI_lo","CI_hi","t_p_2sided","wilcox_p_1sided"
5,"near-unit-root","1-5","AR(1) - iid",10,-0.000586286073611115,-0.00200072831310296,0.000828156165880732,0.372896179485373,0.131096301203387
5,"near-unit-root","1-5","AR(2) - iid",10,-0.00072977383888889,-0.00770330655336852,0.00624375887559074,0.818164454606731,0.540593658362679
5,"near-unit-root","1-5","AR(2) - AR(1)",10,-0.000143487765277774,-0.00663258638110596,0.00634561085055041,0.961198109361864,0.694850672011723
5,"near-unit-root","1-15","AR(1) - iid",10,0.00164883210601852,-0.00168403136596263,0.00498169557799966,0.29206146646527,0.5
5,"near-unit-root","1-15","AR(2) - iid",10,-0.000336591050462963,-0.00436874935053133,0.00369556724960541,0.854409986149932,0.658259548899287
5,"near-unit-root","1-15","AR(2) - AR(1)",10,-0.00198542315648148,-0.00637427728273894,0.00240343096977598,0.332860167806359,0.419231890961232
7,"ARFIMA d=0.45","1-5","AR(1) - iid",10,-0.00382517079861111,-0.0170059748142592,0.00935563321703703,0.527932195137078,0.5
7,"ARFIMA d=0.45","1-5","AR(2) - iid",10,-0.00683790261944444,-0.0332448418045769,0.019569036565688,0.572423793104966,0.694850672011723
7,"ARFIMA d=0.45","1-5","AR(2) - AR(1)",10,-0.00301273182083333,-0.0163218543040167,0.0102963906623501,0.620926597864306,0.868903698796613
7,"ARFIMA d=0.45","1-15","AR(1) - iid",10,-0.00355878212407407,-0.0135791457639174,0.00646158151576926,0.442435063696369,0.540593658362679
7,"ARFIMA d=0.45","1-15","AR(2) - iid",10,-0.00406069752314815,-0.0271053572990576,0.0189839622527613,0.699468935954661,0.620117087010967
7,"ARFIMA d=0.45","1-15","AR(2) - AR(1)",10,-0.000501915399074076,-0.0141965352302957,0.0131927044321475,0.935738378736658,0.459406341637321
